Episode,Reward,Success,Steps
312,6.0,1,5
313,8.0,1,3
314,7.0,1,4
315,5.0,1,6
316,1.0,1,10
317,7.0,1,4
318,9.0,1,2
319,6.0,1,5
320,-4.0,1,15
321,4.0,1,7
322,10.0,1,1
323,9.0,1,2
324,3.0,1,8
325,6.0,1,5
326,9.0,1,2
327,10.0,1,1
328,6.0,1,5
329,8.0,1,3
330,8.0,1,3
331,6.0,1,5
332,9.0,1,2
333,10.0,1,1
334,2.0,1,9
335,7.0,1,4
336,9.0,1,2
337,9.0,1,2
338,7.0,1,4
339,7.0,1,4
340,6.0,1,5
341,7.0,1,4
342,5.0,1,6
343,8.0,1,3
344,3.0,1,8
345,9.0,1,2
346,5.0,1,6
347,4.0,1,7
348,8.0,1,3
349,6.0,1,5
350,5.0,1,6
351,6.0,1,5
352,3.0,1,8
353,5.0,1,6
354,10.0,1,1
355,10.0,1,1
356,7.0,1,4
357,7.0,1,4
358,7.0,1,4
359,9.0,1,2
360,6.0,1,5
361,6.0,1,5
362,2.0,1,9
363,7.0,1,4
364,8.0,1,3
365,9.0,1,2
366,8.0,1,3
367,7.0,1,4
368,8.0,1,3
369,6.0,1,5
370,5.0,1,6
371,2.0,1,9
372,6.0,1,5
373,5.0,1,6
374,7.0,1,4
375,6.0,1,5
376,6.0,1,5
377,8.0,1,3
378,8.0,1,3
379,6.0,1,5
380,7.0,1,4
381,8.0,1,3
382,4.0,1,7
383,9.0,1,2
384,7.0,1,4
385,3.0,1,8
386,4.0,1,7
387,9.0,1,2
388,9.0,1,2
389,7.0,1,4
390,6.0,1,5
391,5.0,1,6
392,7.0,1,4
393,8.0,1,3
394,8.0,1,3
395,7.0,1,4
396,7.0,1,4
397,7.0,1,4
398,7.0,1,4
399,10.0,1,1
400,1.0,1,10
401,7.0,1,4
402,10.0,1,1
403,5.0,1,6
404,9.0,1,2
405,4.0,1,7
406,8.0,1,3
407,10.0,1,1
408,7.0,1,4
409,7.0,1,4
410,10.0,1,1
411,9.0,1,2
412,9.0,1,2
413,7.0,1,4
414,9.0,1,2
415,7.0,1,4
416,5.0,1,6
417,9.0,1,2
418,7.0,1,4
419,5.0,1,6
420,7.0,1,4
421,2.0,1,9
422,7.0,1,4
423,10.0,1,1
424,7.0,1,4
425,7.0,1,4
426,9.0,1,2
427,9.0,1,2
428,5.0,1,6
429,1.0,1,10
430,6.0,1,5
431,6.0,1,5
432,8.0,1,3
433,2.0,1,9
434,10.0,1,1
435,9.0,1,2
436,7.0,1,4
437,9.0,1,2
438,10.0,1,1
439,7.0,1,4
440,7.0,1,4
441,7.0,1,4
442,7.0,1,4
443,9.0,1,2
444,7.0,1,4
445,7.0,1,4
446,8.0,1,3
447,10.0,1,1
448,7.0,1,4
449,6.0,1,5
450,5.0,1,6
451,10.0,1,1
452,7.0,1,4
453,3.0,1,8
454,5.0,1,6
455,3.0,1,8
456,10.0,1,1
457,7.0,1,4
458,8.0,1,3
459,10.0,1,1
460,7.0,1,4
461,8.0,1,3
462,8.0,1,3
463,8.0,1,3
464,6.0,1,5
465,4.0,1,7
466,2.0,1,9
467,4.0,1,7
468,7.0,1,4
469,10.0,1,1
470,2.0,1,9
471,7.0,1,4
