Episode,Reward,Success,Steps
297,-164.0,0,15
298,-157.0,0,8
299,-153.0,0,4
300,134.0,1,17
301,131.0,1,20
302,-157.0,0,8
303,-167.0,0,18
304,136.0,1,15
305,88.0,1,63
306,-162.0,0,13
307,-156.0,0,7
308,143.0,1,8
309,128.0,1,23
310,-166.0,0,17
311,143.0,1,8
312,-153.0,0,4
313,-158.0,0,9
314,-208.0,0,59
315,-161.0,0,12
316,144.0,1,7
317,132.0,1,19
318,-156.0,0,7
319,-180.0,0,31
320,-162.0,0,13
321,135.0,1,16
322,-162.0,0,13
323,-164.0,0,15
324,-150.0,0,1
325,150.0,1,1
326,-166.0,0,17
327,-155.0,0,6
328,83.0,1,68
329,139.0,1,12
330,145.0,1,6
331,-150.0,0,1
332,-163.0,0,14
333,-160.0,0,11
334,-176.0,0,27
335,-154.0,0,5
336,-172.0,0,23
337,-161.0,0,12
338,150.0,1,1
339,-157.0,0,8
340,-182.0,0,33
341,-159.0,0,10
342,-160.0,0,11
343,143.0,1,8
344,-172.0,0,23
345,128.0,1,23
346,-188.0,0,39
347,69.0,1,82
348,141.0,1,10
349,-179.0,0,30
350,144.0,1,7
351,-158.0,0,9
352,-155.0,0,6
353,-164.0,0,15
354,-154.0,0,5
355,-170.0,0,21
356,148.0,1,3
357,-159.0,0,10
358,138.0,1,13
359,104.0,1,47
360,-166.0,0,17
361,-159.0,0,10
362,144.0,1,7
363,-155.0,0,6
364,-159.0,0,10
365,-168.0,0,19
366,-176.0,0,27
367,-178.0,0,29
368,-161.0,0,12
369,-165.0,0,16
370,-154.0,0,5
371,142.0,1,9
372,-170.0,0,21
373,-172.0,0,23
374,-165.0,0,16
375,-158.0,0,9
376,-157.0,0,8
377,-170.0,0,21
378,-156.0,0,7
379,141.0,1,10
380,150.0,1,1
381,-166.0,0,17
382,150.0,1,1
383,-167.0,0,18
384,-163.0,0,14
385,-200.0,0,51
386,145.0,1,6
387,-158.0,0,9
388,134.0,1,17
389,132.0,1,19
390,-162.0,0,13
391,149.0,1,2
392,-160.0,0,11
393,124.0,1,27
394,-155.0,0,6
395,-154.0,0,5
396,-170.0,0,21
397,-168.0,0,19
398,84.0,1,67
399,-150.0,0,1
400,144.0,1,7
401,-165.0,0,16
402,-180.0,0,31
403,-177.0,0,28
404,142.0,1,9
405,142.0,1,9
406,-151.0,0,2
407,138.0,1,13
408,128.0,1,23
409,-155.0,0,6
410,-169.0,0,20
411,-160.0,0,11
412,-161.0,0,12
413,-158.0,0,9
414,-171.0,0,22
415,141.0,1,10
416,-153.0,0,4
417,146.0,1,5
418,141.0,1,10
419,143.0,1,8
420,-159.0,0,10
421,143.0,1,8
422,143.0,1,8
423,147.0,1,4
424,139.0,1,12
425,146.0,1,5
426,-157.0,0,8
427,-161.0,0,12
428,-153.0,0,4
429,-177.0,0,28
430,122.0,1,29
431,-152.0,0,3
432,147.0,1,4
433,139.0,1,12
434,-150.0,0,1
435,139.0,1,12
436,86.0,1,65
437,-156.0,0,7
438,150.0,1,1
439,137.0,1,14
440,146.0,1,5
441,-150.0,0,1
442,-169.0,0,20
443,-156.0,0,7
444,106.0,1,45
445,146.0,1,5
446,-159.0,0,10
447,-191.0,0,42
448,-163.0,0,14
449,-183.0,0,34
450,-182.0,0,33
451,-163.0,0,14
452,148.0,1,3
453,-151.0,0,2
454,-162.0,0,13
455,79.0,1,72
456,-158.0,0,9
457,-158.0,0,9
458,136.0,1,15
459,145.0,1,6
460,148.0,1,3
461,-158.0,0,9
462,-150.0,0,1
463,114.0,1,37
464,-171.0,0,22
465,-165.0,0,16
466,146.0,1,5
467,-162.0,0,13
468,-154.0,0,5
469,-158.0,0,9
470,142.0,1,9
471,-160.0,0,11
472,140.0,1,11
473,-162.0,0,13
474,-158.0,0,9
475,144.0,1,7
476,145.0,1,6
477,126.0,1,25
478,130.0,1,21
479,116.0,1,35
480,139.0,1,12
481,144.0,1,7
482,-151.0,0,2
483,-166.0,0,17
484,109.0,1,42
485,129.0,1,22
486,135.0,1,16
487,-189.0,0,40
488,-152.0,0,3
489,140.0,1,11
490,78.0,1,73
491,139.0,1,12
492,-163.0,0,14
493,85.0,1,66
494,130.0,1,21
495,-202.0,0,53
496,-155.0,0,6
497,144.0,1,7
498,-161.0,0,12
499,106.0,1,45
500,-161.0,0,12
